[2026-06-25T22:43:31.113098] UPS | sufijo: — | ok (raw)
[2026-06-25T22:43:31.499035] 003490.KS | sufijo: — | ok (raw)
[2026-06-25T22:43:31.500001] TGI.TA | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:43:31.550941] APO | sufijo: — | ok (raw)
[2026-06-25T22:43:31.963468] KNIN.SW | sufijo: — | ok (raw)
[2026-06-25T22:43:32.039550] DHL.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:32.189123] SF | sufijo: — | ok (raw)
[2026-06-25T22:43:32.217265] THYAO.IS | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:43:32.304090] CHRW | sufijo: — | ok (raw)
[2026-06-25T22:43:32.527158] DSV.TO | sufijo: — | ok (raw)
[2026-06-25T22:43:32.553661] EXPD | sufijo: — | ok (raw)
[2026-06-25T22:43:32.631081] HRBR | sufijo: — | ok (raw)
[2026-06-25T22:43:32.650188] CHR | sufijo: — | ok (raw)
[2026-06-25T22:43:32.773362] EIF.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:32.933051] SKYW | sufijo: — | ok (raw)
[2026-06-25T22:43:32.991863] REX | sufijo: — | ok (raw)
[2026-06-25T22:43:33.231548] PAL | sufijo: — | ok (raw)
[2026-06-25T22:43:33.231647] BRK.B | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:33.543267] AENA.MC | sufijo: — | ok (raw)
[2026-06-25T22:43:33.625768] AZUL | sufijo: — | ok (raw)
[2026-06-25T22:43:33.787680] ADP | sufijo: — | ok (raw)
[2026-06-25T22:43:33.841342] FRA | sufijo: — | ok (raw)
[2026-06-25T22:43:33.898850] FHZN.SW | sufijo: — | ok (raw)
[2026-06-25T22:43:34.220931] 600009.SS | sufijo: — | ok (raw)
[2026-06-25T22:43:34.285182] AOT.BK | sufijo: — | ok (raw)
[2026-06-25T22:43:34.358059] S58.SI | sufijo: — | ok (raw)
[2026-06-25T22:43:34.418845] CAAP | sufijo: — | ok (raw)
[2026-06-25T22:43:34.667362] PAC | sufijo: — | ok (raw)
[2026-06-25T22:43:34.773711] ASUR | sufijo: — | ok (raw)
[2026-06-25T22:43:34.795956] OMAB | sufijo: — | ok (raw)
[2026-06-25T22:43:34.886510] UP | sufijo: — | ok (raw)
[2026-06-25T22:43:34.904338] FLY | sufijo: — | ok (raw)
[2026-06-25T22:43:34.904435] SKX | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:35.095828] JOBY | sufijo: — | ok (raw)
[2026-06-25T22:43:35.621068] ADS.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:35.651463] LULU | sufijo: — | ok (raw)
[2026-06-25T22:43:35.742228] AIRJ | sufijo: — | ok (raw)
[2026-06-25T22:43:35.879420] PUM.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:35.967384] 2020.HK | sufijo: — | ok (raw)
[2026-06-25T22:43:36.009741] NKE.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:36.116110] UAA | sufijo: — | ok (raw)
[2026-06-25T22:43:36.371699] AS | sufijo: — | ok (raw)
[2026-06-25T22:43:36.435190] VFC | sufijo: — | ok (raw)
[2026-06-25T22:43:36.646684] COLM | sufijo: — | ok (raw)
[2026-06-25T22:43:36.734439] DECK | sufijo: — | ok (raw)
[2026-06-25T22:43:36.808179] MC | sufijo: — | ok (raw)
[2026-06-25T22:43:36.957620] ONON | sufijo: — | ok (raw)
[2026-06-25T22:43:37.101405] KER.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:37.313435] MONC.MI | sufijo: — | ok (raw)
[2026-06-25T22:43:37.681945] BC | sufijo: — | ok (raw)
[2026-06-25T22:43:37.717349] RMS.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:37.883247] 1913.HK | sufijo: — | ok (raw)
[2026-06-25T22:43:37.907424] SFER.MI | sufijo: — | ok (raw)
[2026-06-25T22:43:37.961397] BRBY.L | sufijo: — | ok (raw)
[2026-06-25T22:43:38.316023] CFR | sufijo: — | ok (raw)
[2026-06-25T22:43:38.334427] TOD | sufijo: — | ok (raw)
[2026-06-25T22:43:38.564886] ITX.L | sufijo: — | ok (raw)
[2026-06-25T22:43:38.694107] RACE | sufijo: — | ok (raw)
[2026-06-25T22:43:38.853160] 9983.HK | sufijo: — | ok (raw)
[2026-06-25T22:43:38.958322] GAP.AX | sufijo: — | ok (raw)
[2026-06-25T22:43:39.391282] AEO.L | sufijo: — | ok (raw)
[2026-06-25T22:43:39.402661] URBN | sufijo: — | ok (raw)
[2026-06-25T22:43:39.558712] PVH | sufijo: — | ok (raw)
[2026-06-25T22:43:39.558811] HBI | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:40.273763] CPRI | sufijo: — | ok (raw)
[2026-06-25T22:43:40.312783] ANF | sufijo: — | ok (raw)
[2026-06-25T22:43:40.287003] GES.AX | sufijo: — | ok (raw)
[2026-06-25T22:43:40.314128] BOSS.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:40.361471] KTB | sufijo: — | ok (raw)
[2026-06-25T22:43:40.364246] LEVI | sufijo: — | ok (raw)
[2026-06-25T22:43:41.536725] CAL | sufijo: — | ok (raw)
[2026-06-25T22:43:41.590079] WWW | sufijo: — | ok (raw)
[2026-06-25T22:43:41.590188] CROX | sufijo: — | ok (raw)
[2026-06-25T22:43:42.321013] SHOO | sufijo: — | ok (raw)
[2026-06-25T22:43:42.476033] VSCO | sufijo: — | ok (raw)
[2026-06-25T22:43:42.493153] BIRK | sufijo: — | ok (raw)
[2026-06-25T22:43:42.763384] DELG.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:42.835433] GIL | sufijo: — | ok (raw)
